"Search Criteria:"

"Lease Type: Both"
"District: 10"
"Permitted Fluid: Salt Water"
"Injection Type: Disposal into a productive zone (H-1)"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000037675,06500885,10,02407,"DEAHL -C-",7W,"PANHANDLE CARSON COUNTY FIELD","CITIES SERVICE OIL & GAS CORP.",CARSON,Oil,
000037676,06580716,10,00067,"BURNETT, S. B. -A-",7W,"PANHANDLE CARSON COUNTY FIELD","GRANITEBAY OPERATING, INC.",CARSON,Oil,
000037677,06502688,10,00069,"BURNETT, S. B. -G-",3,"PANHANDLE CARSON COUNTY FIELD","BMX CORPORATION, INC.",CARSON,Oil,
000037678,06504019,10,01868,"BURNETT -A-",1W,"PANHANDLE CARSON COUNTY FIELD","D. C. W. PRODUCTION",CARSON,Oil,
000037680,06504871,10,00075,"BYRUM, B. F. A. -A-",1W,"PANHANDLE CARSON COUNTY FIELD","RED LINE COMPANY, LTD.",CARSON,Oil,
000037685,06504021,10,00134,WIGHAM,2W,"PANHANDLE CARSON COUNTY FIELD","CHILDERS, J. C.",CARSON,Oil,
000037686,06500615,10,00134,WIGHAM,7W,"PANHANDLE CARSON COUNTY FIELD","CHILDERS, J. C.",CARSON,Oil,
000037692,06530249,10,04033,BURNETT,1013D,"PANHANDLE CARSON COUNTY FIELD","EL RAN, INC.",CARSON,Oil,
000037693,06500383,10,01626,"EVCO IDA",4W,"PANHANDLE CARSON COUNTY FIELD","EVCO ENTERPRISES",CARSON,Oil,
000037694,06502987,10,00050,"PERCIVAL, LEE CADY",1W,"PANHANDLE CARSON COUNTY FIELD","FORA COMPANY",CARSON,Oil,
000037695,06502990,10,00152,"PERCIVAL, F. E.",1W,"PANHANDLE CARSON COUNTY FIELD","MCCLELLAND CREEK PROPERTIES,INC.",CARSON,Oil,"BROWN DOLOMITE, GRANITE WASH"
000037696,06581829,10,01564,"MCCRAY, C. E., ET UX",10W,"PANHANDLE CARSON COUNTY FIELD","MCCLELLAND CREEK PROPERTIES,INC.",CARSON,Oil,
000037697,06501838,10,00081,"BURNETT -B-",1W,"PANHANDLE CARSON COUNTY FIELD","DAWN OIL & GAS OPERATORS INC.",CARSON,Oil,
000037698,06501603,10,00142,"SCHAFER RANCH",8W,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037732,06502862,10,06568,"SCHAFER RANCH EAST",148W,"PANHANDLE CARSON COUNTY FIELD","LEGACY RESERVES OPERATING LP",CARSON,Oil,
000037733,06502850,10,06568,"SCHAFER RANCH EAST",154W,"PANHANDLE CARSON COUNTY FIELD","LEGACY RESERVES OPERATING LP",CARSON,Oil,
000037742,06502908,10,06568,"SCHAFER RANCH EAST",174W,"PANHANDLE CARSON COUNTY FIELD","LEGACY RESERVES OPERATING LP",CARSON,Oil,
000037759,06502859,10,06568,"SCHAFER RANCH EAST",206W,"PANHANDLE CARSON COUNTY FIELD","MAC 5 OPERATING, LLC",CARSON,Oil,
000037773,06502583,10,01994,"BURNETT -J-",5D,"PANHANDLE CARSON COUNTY FIELD","GRANITEBAY OPERATING, INC.",CARSON,Oil,
000037775,06502977,10,00085,"NOEL, J. L.",8D,"PANHANDLE CARSON COUNTY FIELD","THE OPERATING CO.",CARSON,Oil,
000037776,23313479,10,00094,QUINN,7W,"PANHANDLE CARSON COUNTY FIELD","CHEVRON U. S. A. INC.",HUTCHINSON,Oil,
000037777,06580936,10,00095,SEIBOLD,1W,"PANHANDLE CARSON COUNTY FIELD","CHEVRON U. S. A. INC.",CARSON,Oil,
000037778,06502299,10,00124,"BLOCK -C-",8W,"PANHANDLE CARSON COUNTY FIELD","CHEVRON U. S. A. INC.",CARSON,Oil,
000037779,06504022,10,00138,"COOPER B & E",4D,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037780,06500825,10,03184,"COOPER, E. /NCT-A/",5D,"PANHANDLE CARSON COUNTY FIELD","ENEREX SUPPLY, INC.",CARSON,Oil,
000037781,06582282,10,03185,"COOPER, E. /NCT-B/",10D,"PANHANDLE CARSON COUNTY FIELD","CHEVRON U. S. A. INC.",CARSON,Oil,
000037782,06500641,10,03186,"COOPER, E. /NCT-C/",22D,"PANHANDLE CARSON COUNTY FIELD","CHEVRON U. S. A. INC.",CARSON,Oil,
000037783,06504182,10,04102,COON,1,"PANHANDLE CARSON COUNTY FIELD","JAY-DEE PRODUCING COMPANY",CARSON,Oil,
000037784,06500472,10,04102,COON,"1 A","PANHANDLE CARSON COUNTY FIELD","TESS OIL COMPANY",CARSON,Oil,
000037785,23384584,10,01967,"BURNETT, S. B. #2",1W,"PANHANDLE CARSON COUNTY FIELD","WATSON OPERATING COMPANY",HUTCHINSON,Oil,
000037786,06580615,10,00040,"BURNETT -V-",3W,"PANHANDLE CARSON COUNTY FIELD","LOSURE, KEN",CARSON,Oil,
000037787,06501919,10,01577,"BURNETT -R-",34D,"PANHANDLE CARSON COUNTY FIELD","SARGECO, INC.",CARSON,Oil,
000037788,06502597,10,02034,"WHITEHALL-BURNETT -A-",8W,"PANHANDLE CARSON COUNTY FIELD","HUBER, J. M., CORPORATION",CARSON,Oil,
000037789,06580639,10,00046,"SIMMS -B-",8W,"PANHANDLE CARSON COUNTY FIELD","JACKSON, DONALD W.",CARSON,Oil,
000037790,06502435,10,00100,"BURNETT -A-",2W,"PANHANDLE CARSON COUNTY FIELD","BORGER RESOURCES 3 LLC",CARSON,Oil,
000037791,06504023,10,02291,"BURNETT ""B""",8W,"PANHANDLE CARSON COUNTY FIELD","TRYMA OPERATING",CARSON,Oil,
000037793,06581947,10,01862,"BURNETT ""B""",1W,"PANHANDLE CARSON COUNTY FIELD",SAMCO,CARSON,Oil,
000037797,06500275,10,01761,BURNETT,4D,"PANHANDLE CARSON COUNTY FIELD","PANTERA ENERGY COMPANY",CARSON,Oil,
000037798,06520023,10,03465,"SAILOR, MABEL M.",2W,"PANHANDLE CARSON COUNTY FIELD","DANCO OIL & GAS",CARSON,Oil,
000037799,06581760,10,00176,BYRUM,7W,"PANHANDLE CARSON COUNTY FIELD","PARAFFIN OIL OPERATORS CORP.",CARSON,Oil,
000037800,06500379,10,00121,BLOCK,3W,"PANHANDLE CARSON COUNTY FIELD","FORT WORTH NATURAL GAS, INC.",CARSON,Oil,
000037801,06502999,10,00139,"PERCIVAL, F. E.",2W,"PANHANDLE CARSON COUNTY FIELD","DALF ENERGY LLC",CARSON,Oil,
000037802,06581136,10,00111,WARE,8W,"PANHANDLE CARSON COUNTY FIELD","DYNE OIL & GAS,INC.",CARSON,Oil,
000037803,06502519,10,00112,BURNETT,13W,"PANHANDLE CARSON COUNTY FIELD","L & G OPERATING, INC.",CARSON,Oil,
000037804,06500123,10,00112,BURNETT,20D,"PANHANDLE CARSON COUNTY FIELD","L & G OPERATING, INC.",CARSON,Oil,
000037806,06580604,10,00039,LEWIS,2W,"PANHANDLE CARSON COUNTY FIELD","ELK HORN OIL & GAS INC.",CARSON,Oil,
000037807,06500847,10,00117,"COOPER -C-",12W,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037808,06500167,10,02319,"THORNBURG (GRYPHON)",4W,"PANHANDLE CARSON COUNTY FIELD","PHILLIPS PETROLEUM COMPANY",CARSON,Oil,
000037809,06501093,10,02482,PICKENS,3W,"PANHANDLE CARSON COUNTY FIELD","BORGER RESOURCES 3 LLC",CARSON,Oil,
000037813,06581384,10,00137,"MCCONNELL, GIRTHA",10W,"PANHANDLE CARSON COUNTY FIELD","SIDWELL OIL & GAS, INC.",CARSON,Oil,
000037814,06520080,10,03326,"SAILOR, R. J.",7D,"PANHANDLE CARSON COUNTY FIELD","DALF ENERGY LLC",CARSON,Oil,
000037815,23307755,10,00159,"COOPER UNIT",102W,"PANHANDLE CARSON COUNTY FIELD","TEXACO INC.",HUTCHINSON,Oil,
000037816,06500913,10,00159,"COOPER UNIT",3018W,"PANHANDLE CARSON COUNTY FIELD","KODIAK OPERATING, LLC",CARSON,Oil,
000037820,23380727,10,00169,"MOORE, E. J. NCT-2",22W,"PANHANDLE CARSON COUNTY FIELD","TEXACO INC.",HUTCHINSON,Oil,
000037821,23301331,10,00171,"QUINN, J. K.",36W,"PANHANDLE CARSON COUNTY FIELD","TEXACO INC.",HUTCHINSON,Oil,
000037822,23301323,10,00094,QUINN,37W,"PANHANDLE CARSON COUNTY FIELD","WO OPERATING COMPANY",HUTCHINSON,Oil,
000037823,06501784,10,01530,"BURNETT, S. B. NCT-2",42W,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037824,06500360,10,01799,"BONEY, T. J. NCT-1",39W,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037825,06502355,10,00156,"JEFF NUNN",11W,"PANHANDLE CARSON COUNTY FIELD","MISTEX OPERATING, INC.",CARSON,Oil,
000037830,06501406,10,02614,"FIRST STATE BANK OF WHITE DEER",17W,"PANHANDLE CARSON COUNTY FIELD","TEXACO E & P INC.",CARSON,Oil,
000037833,06504010,10,00174,"CITIES SERVICE -C-",15W,"PANHANDLE CARSON COUNTY FIELD","LARGE OPERATING LLC",CARSON,Oil,
000037834,06530269,10,04005,SEIBER,"5 A","PANHANDLE CARSON COUNTY FIELD","B & B FARM INDUSTRIES, INC.",CARSON,Oil,
000037835,06501435,10,02335,"BOONE, ALVERA C., ETAL",2D,"PANHANDLE CARSON COUNTY FIELD","WY-VEL CORP",CARSON,Oil,
000037836,06582219,10,02626,COOPER,10,"PANHANDLE CARSON COUNTY FIELD","CHANCE ENERGY CO. INC.",CARSON,Oil,
000037843,17906682,10,00599,"KINZER, W. G.",7G,"PANHANDLE GRAY COUNTY FIELD","MISSION RESOURCES CORPORATION",GRAY,Oil,
000037846,17983030,10,00601,"LOVETT, FANNIE -B-",3W,"PANHANDLE GRAY COUNTY FIELD","ROMINES, J. L.",GRAY,Oil,
000037847,17908246,10,00602,"MERTEN, H. H.",15W,"PANHANDLE GRAY COUNTY FIELD","S & W OIL & GAS, LLC",GRAY,Oil,
000037848,17983056,10,00603,"PALMER, J. H.",14,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037856,17930149,10,01539,"COBB, T. B.",36W,"PANHANDLE GRAY COUNTY FIELD","OMNI EXPLORATION, INC.",GRAY,Oil,
000037857,17930144,10,01539,"COBB, T. B.",37W,"PANHANDLE GRAY COUNTY FIELD","CAIRN ENERGY, USA, INC.",GRAY,Oil,
000037858,17900151,10,01539,"COBB, T. B.",38W,"PANHANDLE GRAY COUNTY FIELD","OMNI EXPLORATION, INC.",GRAY,Oil,
000037860,17920065,10,01539,"COBB, T. B.",40W,"PANHANDLE GRAY COUNTY FIELD","OMNI EXPLORATION, INC.",GRAY,Oil,
000037861,17900148,10,01539,"COBB, T. B.",41W,"PANHANDLE GRAY COUNTY FIELD","CRESLAND OIL & GAS, INC.",GRAY,Oil,
000037864,17906647,10,00284,"LEOPOLD, M. B.",1D,"PANHANDLE GRAY COUNTY FIELD","EXXCEL PRODUCTION COMPANY",GRAY,Oil,
000037866,17982662,10,00537,"MOODY, VICTOR",4W,"PANHANDLE GRAY COUNTY FIELD","MYRIAD RESOURCES CORPORATION",GRAY,Oil,
000037868,17905656,10,00545,WORLEY-REYNOLDS,8,"PANHANDLE GRAY COUNTY FIELD","MYCON ENERGY",GRAY,Oil,
000037870,17982964,10,00587,"WRIGHT -B-",4W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037890,17905330,10,00202,"COMBS-WORLEY ""A""",1W,"PANHANDLE GRAY COUNTY FIELD","DANIELS, J.C. ENERGY",GRAY,Oil,
000037891,17907623,10,02317,BRALLEY,1W,"PANHANDLE GRAY COUNTY FIELD","STAHL PETROLEUM CO.",GRAY,Oil,
000037893,17900686,10,00237,"MEERS -C-",9W,"PANHANDLE GRAY COUNTY FIELD","CORETERRA OPERATING, LLC",GRAY,Oil,DOLOMITE
000037894,17905057,10,00242,WALBERG,9W,"PANHANDLE GRAY COUNTY FIELD","PG-M INTERNATIONAL OPERATING,LLC",GRAY,Oil,
000037895,17905784,10,00332,"MERTEN, H. H.",16W,"PANHANDLE GRAY COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",GRAY,Oil,
000037896,17905558,10,00610,OCHILTREE,2W,"PANHANDLE GRAY COUNTY FIELD","BRUCE, W. L.",GRAY,Oil,
000037897,17901982,10,00213,"GILL, R. E.",1W,"PANHANDLE GRAY COUNTY FIELD","MK OPERATING CO.",GRAY,Oil,
000037898,17981166,10,00219,"MCLAUGHLIN, D.J.",2W,"PANHANDLE GRAY COUNTY FIELD","CHAMPLIN PETROLEUM CO.",GRAY,Oil,
000037899,17981173,10,00219,"MCLAUGHLIN, D.J.",16W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037901,17905293,10,00532,"COOMLY, P. A.",10,"PANHANDLE GRAY COUNTY FIELD","CHASE PRODUCTION COMPANY",GRAY,Oil,
000037906,17907751,10,00209,"PHILLIPS, H. -A-",12W,"PANHANDLE GRAY COUNTY FIELD","CHISUM OPERATING COMPANY",GRAY,Oil,
000037909,17904658,10,00225,"BAGGERMAN ""A""",2W,"PANHANDLE GRAY COUNTY FIELD","OXY USA INC.",GRAY,Oil,
000037916,17900134,10,00236,"MEERS -A-",5W,"PANHANDLE GRAY COUNTY FIELD","OXY USA INC.",GRAY,Oil,
000037925,17981337,10,00249,"FINLEY, B. E.",17D,"PANHANDLE GRAY COUNTY FIELD","CONOCO INC.",GRAY,Oil,
000037926,17900500,10,00250,"WRIGHT, CARRIE",16W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037929,17900565,10,00269,"COMBS-WORLEY ""B""",4W,"PANHANDLE GRAY COUNTY FIELD","SUOCO OIL CORPORATION",GRAY,Oil,
000037931,17907237,10,00275,"FRASHIER, O. N.",3W,"PANHANDLE GRAY COUNTY FIELD","DEMINEX U. S. OIL CO.",GRAY,Oil,
000037932,17903754,10,00327,LOVETT,2W,"PANHANDLE GRAY COUNTY FIELD","DEMINEX U. S. OIL CO.",GRAY,Oil,
000037933,17903755,10,00327,LOVETT,3W,"PANHANDLE GRAY COUNTY FIELD","ROMINES OPERATING GROUP",GRAY,Oil,
000037936,17902438,10,00282,"BULL, BRUCE",5W,"PANHANDLE GRAY COUNTY FIELD","PANTERA ENERGY COMPANY",GRAY,Oil,
000037937,17901649,10,00285,"DAVIS, M. B.",8W,"PANHANDLE GRAY COUNTY FIELD","DUNIGAN OPERATING COMPANY, INC.",GRAY,Oil,
000037938,17900564,10,00296,WORLEY,2W,"PANHANDLE GRAY COUNTY FIELD","BORGER RESOURCES 2 LLC",GRAY,Oil,
000037939,17902078,10,02299,JOHNSON-FEDERAL,4W,"PANHANDLE GRAY COUNTY FIELD","PORTER OPERATING COMPANY, L.L.C.",GRAY,Oil,
000037940,17904632,10,02767,JACKSON,6W,"PANHANDLE GRAY COUNTY FIELD","PANTERA ENERGY COMPANY",GRAY,Oil,
000037941,17904535,10,02783,"OSBORNE, CINCO",3W,"PANHANDLE GRAY COUNTY FIELD","LEGACY RESERVES OPERATING LP",GRAY,Oil,
000037943,17984009,10,01708,GRAY,8W,"PANHANDLE GRAY COUNTY FIELD","DYNE OIL & GAS,INC.",GRAY,Oil,
000037944,17905525,10,00292,"BENTON, J. T.",1W,"PANHANDLE GRAY COUNTY FIELD","EVANS, S. C.",GRAY,Oil,
000037962,17902579,10,04922,"TAYLOR RANCH FEE ""A""",14W,"PANHANDLE GRAY COUNTY FIELD",TAYLOR-CLAYTON-HAWLEY,GRAY,Oil,
000037964,17908022,10,02557,"TAYLOR -A- UNIT",20W,"PANHANDLE GRAY COUNTY FIELD","LAMBERSON OPERATING",GRAY,Oil,
000037966,17984020,10,01720,GETHING,4SW,"PANHANDLE GRAY COUNTY FIELD","GUACHARO OIL COMPANY",GRAY,Oil,
000037970,17984849,10,03046,"HOLMES -WF-",A206W,"PANHANDLE GRAY COUNTY FIELD","RED LINE COMPANY, LTD.",GRAY,Oil,"BROWN DOLOMITE"
000037977,17901831,10,00291,"SAUNDERS, D",7W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037978,17981537,10,00305,"BOWERS, J. B.",4W,"PANHANDLE GRAY COUNTY FIELD","CHEVRON U. S. A. INC.",GRAY,Oil,
000037979,17905271,10,00307,"CATLIN, T. W. ETAL",6W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000037981,17903307,10,247509,"FAULKNER, S. -A-",28,"PANHANDLE, WEST","EXXCEL PRODUCTION COMPANY",GRAY,Gas,
000037982,17903102,10,00308,"FAULKNER, S. -A-",33,"PANHANDLE GRAY COUNTY FIELD","EXXCEL PRODUCTION COMPANY",GRAY,Oil,
000037985,17906152,10,00314,"THOMPSON, R. B. ETAL",13W,"PANHANDLE GRAY COUNTY FIELD","CHEVRON U. S. A. INC.",GRAY,Oil,
000037986,17905314,10,00315,WORLEY-COMBS,4W,"PANHANDLE GRAY COUNTY FIELD","ARCO OIL & GAS CO.",GRAY,Oil,
000037987,17981653,10,00316,"WORLEY, P. A. ETAL",2W,"PANHANDLE GRAY COUNTY FIELD","GULF OIL CORP.",GRAY,Oil,
000037988,17930162,10,186138,"WORLEY, P. A. ETAL -A-",13,"PANHANDLE, WEST","EXXCEL PRODUCTION COMPANY",GRAY,Gas,
000037989,17981779,10,00338,"ADAMS -C-",2W,"PANHANDLE GRAY COUNTY FIELD","ATLANTIC ENERGY",GRAY,Oil,
000037993,17906362,10,00343,"BARRETT -B-",7W,"PANHANDLE GRAY COUNTY FIELD","CHEVRON U. S. A. INC.",GRAY,Oil,
000037995,17981820,10,00346,COBB,3W,"PANHANDLE GRAY COUNTY FIELD","ADOBE OPERATING, INC.",GRAY,Oil,
000038004,17907054,10,00372,"REST 160",23W,"PANHANDLE GRAY COUNTY FIELD","PRODUCTION CONSULTANTS, INC.",GRAY,Oil,
000038005,17901844,10,00374,"SAUNDERS -B-",3W,"PANHANDLE GRAY COUNTY FIELD","CHEVRON U. S. A. INC.",GRAY,Oil,
000038012,17907613,10,00677,HOOD,2W,"PANHANDLE GRAY COUNTY FIELD","S & W OIL & GAS, LLC",GRAY,Oil,
000038091,17907680,10,02970,"SOUTH PAMPA",407D,"PANHANDLE GRAY COUNTY FIELD","CYCOHL ENERGY, LLC",GRAY,Oil,"GRANITE WASH, BROWN DOLOMITE"
000038097,17900845,10,03726,"GETHING -A- WATERFLOOD",212W,"PANHANDLE GRAY COUNTY FIELD","BRADLEY OPERATING CO.",GRAY,Oil,
000038099,17907760,10,00300,MCKINNEY,2W,"PANHANDLE GRAY COUNTY FIELD","LEGACY RESERVES OPERATING LP",GRAY,Oil,
000038100,17906066,10,00421,BARRETT,3W,"PANHANDLE GRAY COUNTY FIELD","TREJIM OPERATORS, LLC",GRAY,Oil,
000038101,17904760,10,00207,BLAKE,4W,"PANHANDLE GRAY COUNTY FIELD","KIRKPATRICK OIL COMPANY",GRAY,Oil,
000038102,17907519,10,00512,COMBS-WORLEY,7W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038103,17982210,10,00415,"BOWERS, J. B.",1W,"PANHANDLE GRAY COUNTY FIELD","MAZEL OIL & GAS CO.",GRAY,Oil,
000038104,17982222,10,00418,"HINES, JOHNNY",2W,"PANHANDLE GRAY COUNTY FIELD","MAZEL OIL & GAS CO.",GRAY,Oil,
000038105,17982232,10,00420,"WORLEY, P. A.",8,"PANHANDLE GRAY COUNTY FIELD","MAZEL OIL & GAS CO.",GRAY,Oil,
000038106,17982288,10,00431,CARTER-REYNOLDS,3D,"PANHANDLE GRAY COUNTY FIELD","BETA-TEX, AN OKLAHOMA CORP.",GRAY,Oil,
000038107,17981916,10,00385,"BOWERS, J. B.",3W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038108,17906396,10,00386,"CANTRELL, J. W.",6W,"PANHANDLE GRAY COUNTY FIELD","MINCO OIL AND GAS CO.",GRAY,Oil,
000038109,17981936,10,00387,"CATLIN, TOM",5W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038110,17901128,10,00388,"DARSEY, R. E.",7W,"PANHANDLE GRAY COUNTY FIELD","CYCOHL ENERGY, LLC",GRAY,Oil,
000038114,17900343,10,00390,"FAULKNER, SILER",11W,"PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038116,17904963,10,00391,"FEE LAND #227",54W,"PANHANDLE GRAY COUNTY FIELD","CALDWELL PRODUCTION CO. INC.",GRAY,Oil,
000038119,17900506,10,00391,"FEE LAND #227",159W,"PANHANDLE GRAY COUNTY FIELD","CALDWELL PRODUCTION CO. INC.",GRAY,Oil,
000038120,17900513,10,00391,"FEE LAND #227",175W,"PANHANDLE GRAY COUNTY FIELD","CALDWELL PRODUCTION CO. INC.",GRAY,Oil,
000038123,17907369,10,00395,"HEITHOLT, HENRY",3W,"PANHANDLE GRAY COUNTY FIELD","MINCO OIL AND GAS CO.",GRAY,Oil,
000038124,17900685,10,00396,"HOLMES, A.",9W,"PANHANDLE GRAY COUNTY FIELD","MINCO OIL AND GAS CO.",GRAY,Oil,
000038125,17900756,10,00398,"KINZER, W. G.",2W,"PANHANDLE GRAY COUNTY FIELD","PG-M INTERNATIONAL OPERATING,LLC",GRAY,Oil,
000038127,17902428,10,00407,"SAUNDERS, G. H. -B-",3W,"PANHANDLE GRAY COUNTY FIELD","ROMINES & WARNER",GRAY,Oil,
000038134,17907243,10,00409,"WALL, J. J.",5W,"PANHANDLE GRAY COUNTY FIELD","PG-M INTERNATIONAL OPERATING,LLC",GRAY,Oil,
000038136,17905581,10,00266,"SAUNDERS -A-",5W,"PANHANDLE GRAY COUNTY FIELD","OILWELL OPERATORS, INC.",GRAY,Oil,
000038139,17905727,10,00433,"HOLMES -A-",1W,"PANHANDLE GRAY COUNTY FIELD","OILWELL OPERATORS, INC.",GRAY,Oil,
000038140,17982588,10,00516,VICARS,2D,"PANHANDLE GRAY COUNTY FIELD","DANIELS ENERGY",GRAY,Oil,
000038141,17982932,10,05450,"POWELL ""A""",22D,"PANHANDLE GRAY COUNTY FIELD","MYRIAD RESOURCES CORPORATION",GRAY,Oil,
000038142,17982933,10,05450,"POWELL ""A""",28W,"PANHANDLE GRAY COUNTY FIELD","ARCO OIL & GAS CO.",GRAY,Oil,
000038143,17985152,10,03688,"ANDERSON -B-",1W,"PANHANDLE GRAY COUNTY FIELD","DALF ENERGY LLC",GRAY,Oil,
000038144,17904595,10,02709,READ,2W,"PANHANDLE GRAY COUNTY FIELD","TRANS TERRA CORP., INTERNATIONAL",GRAY,Oil,
000038151,17982853,10,00566,"SACKETT, RUBY",17W,"PANHANDLE GRAY COUNTY FIELD","PETROLEUM INTERNATIONAL, INC.",GRAY,Oil,
000038153,17981704,10,00324,"BAILEY ""C""",1W,"PANHANDLE GRAY COUNTY FIELD","PHILLIPS PETROLEUM COMPANY",GRAY,Oil,
000038155,17982367,10,00459,CLAY,12,"PANHANDLE GRAY COUNTY FIELD","PHILLIPS PETROLEUM COMPANY",GRAY,Oil,
000038162,17906343,10,00474,HUGHEY,7W,"PANHANDLE GRAY COUNTY FIELD","PHILLIPS PETROLEUM COMPANY",GRAY,Oil,
000038163,17982428,10,06772,"JOHNSON RANCH UNIT",407D,"PANHANDLE GRAY COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",GRAY,Oil,"BROWN DOLOMITE"
000038166,17907616,10,00496,SINGLE,"D  2W","PANHANDLE GRAY COUNTY FIELD","PHILLIPS PETROLEUM COMPANY",GRAY,Oil,
000038169,17904928,10,00503,WOOD,"D  2W","PANHANDLE GRAY COUNTY FIELD","PONDEROSA TX OPERATING LLC",GRAY,Oil,
000038181,17906609,10,03061,"PAMPA UNIT",307W,"PANHANDLE GRAY COUNTY FIELD","MAC 5 OPERATING, LLC",GRAY,Oil,
000038230,17907375,10,07033,"JDF UNIT",1302,"PANHANDLE GRAY COUNTY FIELD","CRUDE OPERATORS, L.L.C.",GRAY,Oil,
